Date,Open,High,Low,Close,vix,daily_return,overnight_ret,intraday_ret,yearmonth,day_rank,day_rank_rev,high_252,dist_52w
1990-06-29,357.64,359.09,357.3,358.02,15.5,0.10905125408942062,0.0027961860022962526,0.10625209708086114,1990-06,21,1,,
1990-07-02,358.02,359.58,357.54,359.54,16.26,0.42455728730239617,0.0,0.42455728730239617,1990-07,1,21,367.4,-2.1393576483396726
1990-07-03,359.54,360.73,359.44,360.16,16.11,0.17244256550035253,0.0,0.17244256550035253,1990-07,2,20,367.4,-1.970604246053335
1990-07-05,360.16,360.16,354.86,355.68,17.25,-1.2438916037316838,0.0,-1.2438916037316838,1990-07,3,19,367.4,-3.189983669025577
1990-07-06,355.69,359.02,354.64,358.42,16.41,0.7703553756185366,0.0028115159694142022,0.7675222806376336,1990-07,4,18,367.4,-2.4442025040827335
1990-07-09,358.42,360.05,358.11,359.52,16.66,0.3069025166006156,0.0,0.3069025166006156,1990-07,5,17,367.4,-2.144801306477952
1990-07-10,359.52,359.74,356.41,356.49,16.92,-0.8427903871829012,0.0,-0.8427903871829012,1990-07,6,16,367.4,-2.9695155144256855
1990-07-11,356.49,361.23,356.49,361.23,16.68,1.3296305646722129,0.0,1.3296305646722129,1990-07,7,15,367.4,-1.6793685356559496
1990-07-12,361.23,365.46,360.57,365.44,17.06,1.1654624477479558,0.0,1.1654624477479558,1990-07,8,14,367.4,-0.5334784975503483
1990-07-13,365.45,369.68,365.45,367.31,17.09,0.511711908931689,0.0027364273204932843,0.5089615542481996,1990-07,9,13,367.4,-0.024496461622203317
1990-07-16,367.31,369.78,367.31,368.95,16.75,0.4464893414282134,0.0,0.4464893414282134,1990-07,10,12,367.4,0.4218835057158442
1990-07-17,368.95,369.4,364.99,367.52,16.66,-0.387586393820305,0.0,-0.387586393820305,1990-07,11,11,368.95,-0.38758639382030274
1990-07-18,367.52,367.52,362.95,364.22,18.9,-0.8979103178058168,0.0,-0.8979103178058168,1990-07,12,10,368.95,-1.2820165334056002
1990-07-19,364.22,365.32,361.29,365.32,18.56,0.30201526549886726,0.0,0.30201526549886726,1990-07,13,9,368.95,-0.9838731535438395
1990-07-20,365.32,366.64,361.58,361.61,15.63,-1.015548012701184,0.0,-1.015548012701184,1990-07,14,8,368.95,-1.9894294619867123
1990-07-23,361.61,361.61,350.09,355.31,23.68,-1.7422084566245388,0.0,-1.7422084566245388,1990-07,15,7,368.95,-3.696977910285943
1990-07-24,355.31,356.09,351.46,355.79,21.79,0.1350932988094966,0.0,0.1350932988094966,1990-07,16,6,368.95,-3.5668789808917114
1990-07-25,355.79,357.52,354.8,357.09,20.19,0.36538407487560765,0.0,0.36538407487560765,1990-07,17,5,368.95,-3.2145277137823594
1990-07-26,357.09,357.47,353.95,355.91,20.26,-0.33044890643814107,0.0,-0.33044890643814107,1990-07,18,4,368.95,-3.5343542485431536
1990-07-27,355.9,355.94,352.14,353.44,21.12,-0.6939956730634189,-0.0028096990812409572,-0.6912053947738084,1990-07,19,3,368.95,-4.203821656050953
1990-07-30,353.44,355.55,351.15,355.55,21.16,0.5969895880489018,0.0,0.5969895880489018,1990-07,20,2,368.95,-3.631928445588827
1990-07-31,355.55,357.54,353.91,356.15,21.11,0.16875263675995011,0.0,0.16875263675995011,1990-07,21,1,368.95,-3.4693047838460527
