,LogReg_v92,ElasticNet_v92,MLP_v92,EWLogit_v92,som_ret,remaining_ret,monthly_return,Ensemble_v92
2000-07-01,0.30419674078189796,-4.59511985013459,0.47007046146908155,0.21867166137964994,1.964,-4.4395,-2.6342,-0.9005452466259901
2000-08-01,2.091785846361989,4.595119850134589,4.595119850134589,0.9656697606782129,2.7457,2.3311,5.5337,3.061923826827345
2000-09-01,-0.5177881141122846,4.595119850134589,-1.9725655072915915,0.25111355149895326,-3.5226,-1.8966,-5.5406,0.5889699450574166
2000-10-01,1.0555937032659908,4.595119850134589,0.43796272846238465,0.41376901555545054,-5.4033,4.4732,-0.4756,1.6256113243546038
2000-11-01,-0.9998452671431415,-4.59511985013459,-0.20617215351288876,0.052415742301974336,-3.4306,-3.5115,-7.4774,-1.4371803821221614
2000-12-01,0.9057575982476024,3.829418281083458,0.7505302570546774,0.670548228935643,1.9896,-1.4959,0.384,1.5390635913303452
2001-01-01,0.6410904571189693,4.557492425446319,0.5622527357104486,-0.23520635131685788,3.6331,2.6903,6.4476,1.3814073167397198
2001-02-01,-3.2494563826289022,-4.59511985013459,-1.233538835540197,-2.337328440740678,-3.9925,-5.7113,-9.7221,-2.8538608772610914
2001-03-01,-1.0687101612260168,-4.59511985013459,-0.25002540648655425,-0.5498573535826093,-5.4386,-2.8603,-6.5177,-1.6159281928574427
2001-04-01,2.1733394040301004,4.595119850134589,2.551065857103307,2.6657339095431034,4.009,5.6458,9.0403,2.996314755202775
2001-05-01,2.0068942139829167,4.595119850134589,0.042284111974383705,1.1932295620996929,-0.758,0.0859,-0.8386,1.9593819345478956
2001-06-01,-0.11895235757323055,2.088132988205821,1.2053618219479996,-0.1589936141951864,-2.5897,0.1967,-2.8786,0.7538872095963509
2001-07-01,1.1564108096197157,4.595119850134589,0.5434620644198711,1.5098010739316379,-2.1861,0.283,-2.0611,1.9511984495264534
2001-08-01,-0.7016043040127679,-4.59511985013459,-0.40623255200453356,-0.3105754302300061,-2.4967,-4.5336,-6.7726,-1.5033830340954744
2001-09-01,-3.1153276897217577,-4.59511985013459,0.33588215920230863,-2.752623716526534,-12.049,4.1072,-8.1205,-2.531797274295143
2001-10-01,1.2375128183089024,4.595119850134589,1.8435708472646513,1.8935600416849592,5.1002,-1.7224,2.0442,2.392440889348275
2001-11-01,2.1420780956911027,4.595119850134589,0.2514025906591094,1.9264147779107523,4.7785,0.2362,5.1056,2.2287538285988884
2001-12-01,3.5263382126789207,4.595119850134589,3.7906201978679053,3.2455608815052774,0.1296,2.2889,1.609,3.789409785546673
2002-01-01,2.8872746123013253,4.595119850134589,1.8392684873554173,2.484024656840079,-1.3285,-2.1265,-2.1192,2.9514219016578527
2002-02-01,0.8921937097191237,1.9007374347043595,0.9487774313807176,0.1854154394591769,-1.4434,1.7684,-1.3785,0.9817810038158444
2002-03-01,1.626284475677675,0.39185503022137075,3.242906075003917,1.4447112704585117,2.5715,-1.4701,1.3792,1.6764392128403685
2002-04-01,-0.9676779318290449,-4.59511985013459,-0.07887886319997754,-0.9911994346267418,-2.7319,-3.3061,-6.0722,-1.6582190199475886
2002-05-01,0.19919317318522717,-3.1993656869896636,0.26260966071854686,-0.500923615165589,-0.2977,-2.7634,-1.7783,-0.8096216170628696
2002-06-01,-2.6840853671912157,-4.59511985013459,-0.5638512161726019,-2.696319897693099,-1.7873,-4.6748,-4.8872,-2.6348440827978767
2002-07-01,-2.248756391265663,-3.772429459562809,-0.42513200277343843,-1.8406667138347426,-5.5661,-2.6138,-5.8876,-2.071746141859163
2002-08-01,1.1904690494430568,4.595119850134589,1.7758306906387546,1.2638269410824046,3.2408,-1.3147,3.5505,2.2063116328247014
