,LogRegv92,ElasticNetv92,MLPv92,EWLogitv92,Ensemblev92,somret,remainingret,monthly_return,vixmonth,vixchg1m,vixspike,hmmstressprob,kalmanuncertainty,hawkesvixintensity,vrp
2012-03-01,0.9109959059175856,4.595119850134589,4.4271833488518295,0.8264174266598844,2.6899291328909722,2.0941948333430993,1.0177295808589504,3.133237654501775,17.26,-6.954177897574121,0,0.31627906976744186,0.9592189932340338,0.5913934532201756,-234.63294716915655
2012-04-01,0.7258925326790299,4.595119850134589,3.0888477753739836,0.6344176671100686,2.261069456324418,-2.761862162488382,2.069262615273426,-0.7497497284287169,15.64,-9.385863267670924,0,0.23488372093023255,0.9592189932340296,0.5298641004205219,-304.75052838417764
2012-05-01,1.199856215286055,4.595119850134589,3.7678965513971208,1.4874378727551147,2.76257762239322,-4.260646250473932,-2.0936227444241062,-6.265067135938662,16.6,6.13810741687979,0,0.29069767441860467,0.9592189932340258,0.49602295638071237,-257.0220461668329
2012-06-01,-1.6335208168838238,-4.59511985013459,-4.59511985013459,0.300361605615351,-2.630849727884413,1.4324635778773187,2.4873974870213145,3.9554921279372435,26.66,60.602409638554214,1,0.6581395348837209,0.9592189932340225,0.47741032715881715,-422.277294562579
2012-07-01,1.8909407601939165,4.595119850134589,3.5536869473121544,2.835913599123104,3.218915289190941,-0.6254771832971184,1.897107059484049,1.2597639043871345,16.8,-36.98424606151538,0,0.2441860465116279,0.9592189932340194,1.2671733810867747,-287.610347377306
2012-08-01,0.7358813924515306,4.595119850134589,4.595119850134589,0.6391631575453435,2.6413210625665133,1.7842125105124396,0.18875584965061254,1.9763361656468303,18.96,12.857142857142856,0,0.40930232558139534,0.9592189932340166,0.9015430607471515,-177.97265690042707
2012-09-01,0.001344002705396095,2.633732605908059,-2.6385116211606148,0.8214785567794668,0.20451088605807674,3.8824666922606665,-1.4043348229867414,2.423609037523655,17.98,-5.168776371308015,0,0.413953488372093,0.9592189932340142,0.7004463845603587,-241.90875254899154
2012-10-01,-0.9101897463382174,-3.5353588841929238,-4.59511985013459,0.6084166325795081,-2.108062962021555,-0.8384987540519417,-1.150085048894356,-1.978940354140779,16.32,-9.23248053392659,0,0.30930232558139537,0.9592189932340119,0.5898432126576226,-217.01028722038615
2012-11-01,-0.2427784989590175,-4.280197773884207,-0.9768578415673917,-0.025183664125312852,-1.3812544446339823,-4.013001359619317,4.477347675010512,0.28467029231815655,16.69,2.267156862745101,0,0.3813953488372093,0.95921899323401,0.5290114681111178,-321.12319097508754
2012-12-01,2.929182192336842,4.595119850134589,4.595119850134589,1.8032861201880643,3.480677003198521,-0.1835924811817824,0.8920612911897496,0.7068310525498056,16.64,-0.29958058717795,0,0.4255813953488372,0.9592189932340082,0.4955540086105401,-238.76677965441746
2013-01-01,0.9135502685935516,3.6304723047518332,1.2030903446879855,1.2328869526042971,1.7449999676594168,3.2358942356908837,1.750275072333829,5.0428063581991145,14.68,-11.778846153846157,0,0.1883720930232558,0.9592189932340066,0.47715240588522234,-202.9576601486868
2013-02-01,0.4706286474301557,4.595119850134589,0.3025720537834673,0.1847071652438215,1.3882569291480082,1.5532904793373215,-0.4403896462422341,1.1060603026480154,12.9,-12.125340599455036,0,0.08139534883720931,0.9592189932340052,0.4670315243862976,-274.1113627621684
2013-03-01,-0.7499304195412787,-2.8444374200195637,-4.280100889434185,0.17967062622241914,-1.923699525693152,3.2052974885784513,0.38126187445226556,3.5987799403174314,15.36,19.069767441860463,0,0.43953488372093025,0.9592189932340038,0.461465039561889,-147.73424091514823
2013-04-01,0.5199235542283162,2.2892280672878655,-0.17129219432344323,0.9045266870563212,0.8855965285622649,1.2528756874565783,0.5488246215816561,1.808576399288797,13.58,-11.588541666666663,0,0.2116279069767442,0.9592189932340026,1.2584034729084643,-295.033029488166
2013-05-01,0.4617112623052068,1.9815703239709492,-0.7161283458294321,1.0429266461532578,0.6925199716499955,3.3031416463754404,-1.1876340632839266,2.0762783477406455,14.49,6.70103092783505,0,0.39069767441860465,0.9592189932340016,0.8967196112490807,-224.00519986095324
2013-06-01,-0.6584488258055602,-4.574064279011154,-3.6538097655566055,-0.21580979419525315,-2.2755331661421434,-0.2459006340679637,-1.2571231857776088,-1.499932545960736,16.28,12.35334713595584,0,0.6627906976744186,0.9592189932340007,0.6977934873364198,-359.67330937283396
2013-07-01,-0.45070295013663,-4.59511985013459,-2.8689963677936343,-0.060356851985397315,-1.9937940050125629,4.745125382872217,0.19197622585438445,4.94621112134872,16.37,0.5528255528255421,0,0.6883720930232559,0.9592189932339998,0.5883841191844562,-133.87254869610013
2013-08-01,1.766375764129752,3.0052748802419957,1.879091526589578,1.0354200849409863,1.921540563975578,-0.020169303506489822,-3.1102593465014094,-3.12980133236046,12.94,-20.95296273671351,0,0.03953488372093023,0.9592189932339991,0.5282089667008762,-214.57231222551565
2013-09-01,-2.7812747855525197,-4.59511985013459,-4.59511985013459,-2.0880690985504566,-3.514895896093039,3.9578191883500535,-0.9454524033930212,2.9749474883188354,16.61,28.361669242658415,0,0.8093023255813954,0.9592189932339983,0.49511263283490725,-174.509450866718
2013-10-01,0.8126880117325809,-0.6490877506106189,1.6160109149741404,0.7120063351486268,0.6229043778111822,1.700217061639564,2.7132281567590955,4.459575986441089,15.54,-6.441902468392535,0,0.6697674418604651,0.9592189932339977,1.2769096492086245,-256.1083291763882
2013-11-01,2.8821279834556557,4.595119850134589,4.2620485503848275,0.2584192038852821,2.9994288969650884,1.9401778496362043,0.8483095240754635,2.804946087194149,13.28,-14.543114543114545,0,0.13953488372093023,0.9592189932339971,0.9068980082141689,-182.23406085761002
2013-12-01,0.4389660691833981,4.52757928413944,0.584238757361761,-0.2752364710073133,1.3188869099193214,-1.6884389830602364,4.1141878647229735,2.3562833299184183,14.23,7.1536144578313365,0,0.4906976744186046,0.9592189932339966,0.7033916056672183,-193.451216695554
2014-01-01,3.4422290034517538,4.595119850134589,4.595119850134589,1.6596228671596431,3.5730228927201435,0.0010820402951861041,-3.55933303757886,-3.5582895107013734,14.23,0.0,0,0.5023255813953489,0.9592189932339961,0.5914630842663954,-258.8984984197264
2014-02-01,-2.629713927377667,-4.59511985013459,-4.59511985013459,-1.3113476105311663,-3.2828253095445032,3.1437402880079013,1.1323648586175628,4.3117037568930705,21.44,50.66760365425158,1,0.9767441860465116,0.9592189932339957,0.5299023974959428,-256.2844109009083
2014-03-01,2.1747090784707668,4.595119850134589,3.396659972645651,1.5841981117276418,2.937671753244662,-0.9852375702492644,1.6951546061386047,0.6932157358358504,16.0,-25.373134328358216,0,0.672093023255814,0.9592189932339954,1.2960440197721939,-212.00866770919765
2014-04-01,2.440971628584279,4.595119850134589,4.595119850134589,1.4998843579097203,3.2827739216907945,-2.228761870173157,2.9137828374148578,0.6200796863817581,13.1,-18.125000000000004,0,0.19767441860465115,0.9592189932339951,0.917421912024132,-272.6041382023129
2014-05-01,2.2932523864001,4.595119850134589,4.595119850134589,1.7735764493939428,3.314267134015805,0.24310623954988397,1.8554113516862314,2.1030282120013677,13.25,1.1450381679389388,0,0.26744186046511625,0.9592189932339947,0.709179752762698,-165.75129068635962
2014-06-01,1.5003546549973952,4.595119850134589,2.695406734310522,1.6085459782559195,2.5998568044246064,0.6545121830762612,1.243182381621355,1.9058313448431896,11.58,-12.603773584905664,0,0.09069767441860466,0.9592189932339944,0.5946465651689092,-114.4612688460915
2014-07-01,1.0193400585024588,4.595119850134589,2.2746964943658097,1.0499064910780656,2.2347657235202307,0.6657382041903137,-2.159348901321656,-1.5079863077291922,11.15,-3.713298791018993,0,0.1186046511627907,0.9592189932339942,0.5316533119923254,-220.52420733423432
2014-08-01,-1.9546244587143964,-4.59511985013459,-4.59511985013459,-1.08233735171806,-3.056800377675409,1.2695074766790881,2.4647347047330515,3.765532172769026,17.03,52.73542600896861,1,0.7930232558139535,0.959218993233994,0.49700702274520425,-152.70687872856735
2014-09-01,3.443928875884194,4.595119850134589,4.595119850134589,2.6078509331618673,3.81050487732881,-0.9603817567398809,-0.5967350929626636,-1.5513859147336717,12.25,-28.068115091015855,0,0.3023255813953488,0.9592189932339937,1.2779515636592877,-194.135244311626
2014-10-01,-0.40260522963017314,-1.8514631100316676,-3.1934134840244686,-0.7919419824715125,-1.5598559515394554,-4.795947857566585,7.474569952601584,2.3201456175308888,16.71,36.408163265306136,1,0.7883720930232558,0.9592189932339936,0.9074710611620337,-382.2497152470373
2014-11-01,4.595119850134589,4.595119850134589,4.595119850134589,3.379058502629948,4.2911045132584285,1.0787641535145331,1.3599239148552433,2.4533584400783015,14.73,-11.849192100538597,0,0.6139534883720931,0.9592189932339935,1.503706784788544,-74.39305052542271
2014-12-01,2.470203134158964,4.595119850134589,4.595119850134589,2.01409575436037,3.418634647197128,-3.1549265801234294,2.8252086319437986,-0.4188512062527794,14.29,-2.9871011541072745,0,0.5581395348837209,0.9592189932339933,1.0316364327831244,-323.126467856024
2015-01-01,2.0170774918270906,4.595119850134589,4.595119850134589,1.192567855010785,3.0999712617767634,-3.216766234397006,0.11642670386968756,-3.1040847054252363,17.79,24.492652204338693,0,0.8186046511627907,0.9592189932339932,0.7719977391801438,-353.2992137635687
2015-02-01,-0.03508073255607404,1.0290544829760728,-4.59511985013459,0.1005950854028705,-0.8751377535779302,5.112807582995393,0.35813237068369475,5.4892505726845675,19.43,9.218662169758286,0,0.9209302325581395,0.9592189932339931,1.4291964576985046,-190.4839756286639
2015-03-01,1.7858938642639401,3.0909890820144623,2.8685820112196683,3.152106787494348,2.7243929362481047,-2.4281301971964764,0.7056589071783304,-1.7396056070325572,13.04,-32.88728769943386,0,0.4232558139534884,0.959218993233993,0.9906557528836029,-299.3440614706575
2015-04-01,0.31949184800376773,2.6760972239620457,0.15697135031817938,-0.03999901415212569,0.7781403520329668,1.8734071928390827,-1.0025490950000715,0.8520762709815388,15.11,15.874233128834359,0,0.6348837209302326,0.9592189932339928,0.749458365235407,-169.93241230813317
2015-05-01,-0.27407058717547045,-2.8003457891227583,-3.0866596461359994,0.6524581273358584,-1.3771544737745924,1.7065370101317923,-0.646362736316064,1.0491438545008114,12.7,-15.949702183984115,0,0.32558139534883723,0.9592189932339927,0.6167998020288992,-223.19614926617535
2015-06-01,-0.18956781641899814,-1.853627576610445,-1.7958714901414405,0.28018815684481185,-0.889719681581518,-0.6301633774479232,-1.4803424843967128,-2.10117728564716,13.97,10.000000000000009,0,0.4883720930232558,0.9592189932339927,0.5438375922653199,-228.9488777586986
2015-07-01,-1.4061295679182921,-4.59511985013459,-4.59511985013459,-0.7938420894636274,-2.8475528394127747,2.1467590191506902,-0.1689285375343963,1.974203993000856,16.09,15.175375805297065,0,0.7046511627906977,0.9592189932339926,0.5037083768953513,-239.29328453462165
2015-08-01,0.6052648511304091,0.9522810372180026,0.5432463873522826,1.0726288925536762,0.7933552920635927,-0.5846452201688446,-5.706799774328964,-6.258080462392579,12.56,-21.939092604101916,0,0.1744186046511628,0.9592189932339926,0.4816373084418686,-570.4871497914726
2015-09-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-2.6876758779262717,-4.11825885708251,0.2996683872668715,-2.9351546188494892,-2.6442819620927094,31.4,150.0,1,0.9930232558139535,0.9592189932339925,0.46949822079245307,-459.98311713633575
2015-10-01,-2.760961713056183,-4.59511985013459,-4.59511985013459,-1.1374946061197762,-3.272174004861285,3.8650437753576794,4.268292682926833,8.298307838940033,22.55,-28.18471337579618,0,0.8325581395348837,0.9592189932339925,1.2628217225852745,-252.52796448490767
2015-11-01,4.348688127475624,4.595119850134589,4.595119850134589,2.629657484773332,4.042146328129533,-2.7085257002154584,2.8358312242960926,0.05049630655584725,14.15,-37.25055432372506,0,0.44883720930232557,0.9592189932339924,0.8991496485713264,-251.65985913443498
2015-12-01,1.9163225133572233,4.595119850134589,3.2482601368796913,1.1720311451370733,2.732933411377144,-2.8105036987901344,1.0880639385936197,-1.7530198374358763,14.67,3.67491166077738,0,0.4744186046511628,0.9592189932339924,0.6991300078636549,-387.21561847049725
2016-01-01,0.384153643310273,3.823909342385928,0.6056452584061381,0.7378790684286576,1.3878968281327493,-8.004638100922733,3.1861428579025963,-5.073534448173622,20.7,41.10429447852759,1,0.772093023255814,0.9592189932339924,0.5891192054744355,-506.57037545557074
2016-02-01,2.727424347008456,4.595119850134589,4.595119850134589,2.464723593526558,3.5955969102010474,-3.8892095823197192,3.6170486598955387,-0.41283552550199776,19.98,-3.4782608695652084,0,0.7302325581395349,0.9592189932339924,1.328613264160365,-385.3379846539441
2016-03-01,3.0613141603628473,4.595119850134589,4.595119850134589,2.4654469375869335,3.6792501995547395,4.523788575894172,1.985502366758407,6.599110871894109,17.7,-11.411411411411422,0,0.6093023255813953,0.9592189932339924,0.9353349964376261,-231.27989343997967
2016-04-01,2.514262476442424,4.595119850134589,3.820492876932768,1.5938204751399003,3.13092391966242,1.1185877829240853,-0.839262908228422,0.269936982337593,13.1,-25.988700564971744,0,0.29534883720930233,0.9592189932339924,0.7190319491901197,-208.34586186911335
2016-05-01,-0.2849577150528566,-2.162956232311181,-3.0658242524245694,-0.36878004058867275,-1.47062956009432,-0.9049532755531997,2.4596772223335117,1.5324650171887777,14.68,12.061068702290068,0,0.43023255813953487,0.9592189932339924,0.6000652732039912,-228.28086276462273
2016-06-01,2.014640059670209,4.595119850134589,4.066749634992039,1.2356480731619055,2.9780394044896856,-1.0314981282338431,1.1342829057687576,0.09108467059302239,14.2,-3.2697547683923744,0,0.38372093023255816,0.9592189932339924,0.5346336014116204,-390.35740877494896
2016-07-01,0.3384170804798204,3.706282211756896,-0.18480661432882844,1.3212009711059554,1.2952734122534608,2.995912066550388,0.5486321204215105,3.5609807228685897,14.77,4.014084507042259,0,0.44651162790697674,0.9592189932339924,0.49864618192581656,-147.24620701694133
