,LogReg,ElasticNet,MLP,som_ret,remaining_ret,monthly_return,vix_regime,vix_spike,Ensemble
2003-11-01,1.0540104576497373,4.595119850134589,0.0,-0.9448,1.3664,-0.0774,1,0,1.8830434359281087
2003-12-01,3.1520819052861055,4.595119850134589,0.0,-0.0566,4.072,3.9061,1,0,2.5824005851402316
2004-01-01,0.37868203712265547,-0.30043371188338136,0.0,2.1649,0.1461,2.0433,1,0,0.026082775079758036
2004-02-01,0.7377308501365542,1.0678999077136226,0.0,1.5537,-0.3615,0.8527,1,0,0.6018769192833923
2004-03-01,0.8735316723707158,3.424349669845695,0.0,-3.6925,1.6628,-2.5745,1,0,1.432627114072137
2004-04-01,-0.6124723873824842,-2.9449671169312435,0.0,-0.0701,-1.4866,-2.1967,1,0,-1.1858131681045758
2004-05-01,1.4083195959253656,4.595119850134589,0.0,-2.1913,2.6565,0.2855,1,0,2.0011464820199847
2004-06-01,0.6497083966288977,2.686168019613776,0.0,0.9522,0.0852,1.7517,1,0,1.1119588054142244
2004-07-01,-0.3143724175476218,-0.07702407777207784,0.0,-1.933,-0.4519,-2.4111,1,0,-0.13046549843989988
2004-08-01,1.187286414763338,4.595119850134589,0.0,-3.0404,3.1621,-0.2151,1,0,1.9274687549659755
2004-09-01,-0.6772649095027222,-1.0196544167012616,0.0,1.7546,-0.1157,0.784,0,0,-0.5656397754013279
2004-10-01,1.2706981435054339,4.29184791983288,0.0,-1.7057,1.5714,-0.1149,0,0,1.854182021112771
2004-11-01,0.5369699162389793,0.7404902724838599,0.0,4.0203,0.6431,3.831,0,0,0.42582006290761304
2004-12-01,2.401560695039537,4.595119850134589,0.0,0.7074,0.3419,1.7249,0,0,2.3322268483913753
2005-01-01,-0.09768249790020465,-0.6798638977978358,0.0,-1.333,-0.1896,-1.7312,0,0,-0.25918213189934686
2005-02-01,0.6579183605537147,1.9530342660389661,0.0,1.3765,0.2557,1.193,0,0,0.8703175421975603
2005-03-01,-0.1992633402097712,-0.8924278639952054,0.0,-0.8273,-1.8857,-2.4636,0,0,-0.3638970680683255
2005-04-01,-0.23785387133147123,-0.486260702470393,0.0,-0.8935,-0.5669,-1.3701,0,0,-0.2413715246006214
2005-05-01,1.1127427247364545,3.9687545494757632,0.0,0.2273,2.9529,2.5246,0,0,1.693832424737406
